id,name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source,fulltext,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits
346,Under and Over,Combat,"You can slip under a foe trying to grab you, knocking him off balance.","Agile Maneuvers, Small size or smaller.",Agile Maneuvers,"If an opponent larger than you attempts to grapple you and fails, you may make a trip attack as an immediate action against that opponent with a +2 bonus. This does not provoke an attack of opportunity.",,,Advanced Player's Guide,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Under and Over (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can slip under a foe trying to grab you, knocking him off balance.<h5><b>Prerequisites: </b>Agile Maneuvers, Small size or smaller.</h5><h5><b>Benefit: </b>If an opponent larger than you attempts to grapple you and fails, you may make a trip attack as an immediate action against that opponent with a +2 bonus. This does not provoke an attack of opportunity.</h5></div>",0,0,0,0,0,0,0,,,,,0,
347,Underfoot,Combat,You slip under and around your larger foes.,"Dodge, Mobility, Small size or smaller.","Dodge, Mobility","You receive a +4 dodge bonus on Acrobatics checks to move past opponents without provoking attacks of opportunity, so long as they are larger than you. In addition, you gain a +2 dodge bonus to Armor Class against attacks of opportunity caused when you move out of or within a larger opponent's threatened area (this stacks with the +4 bonus provided by Mobility, for a total bonus of +6).",,,Advanced Player's Guide,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Underfoot (Combat)</p><div style=""clear: both;""></div></div><div><h5>You slip under and around your larger foes.<h5><b>Prerequisites: </b>Dodge, Mobility, Small size or smaller.</h5><h5><b>Benefit: </b>You receive a +4 dodge bonus on Acrobatics checks to move past opponents without provoking attacks of opportunity, so long as they are larger than you. In addition, you gain a +2 dodge bonus to Armor Class against attacks of opportunity caused when you move out of or within a larger opponent's threatened area (this stacks with the +4 bonus provided by Mobility, for a total bonus of +6).</h5></div>",0,0,0,0,0,0,0,,,,,0,
348,Vermin Heart,General,"You have a special bond with things that creep, crawl, skitter, and sting.",Wild empathy class feature.,,You may target vermin with spells and special abilities that only affect animals (although they are still affected by spells targeting vermin as well). You may use wild empathy to inf luence vermin as easily as you inf luence animals.,,,Advanced Player's Guide,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Vermin Heart</p><div style=""clear: both;""></div></div><div><h5>You have a special bond with things that creep, crawl, skitter, and sting.<h5><b>Prerequisites: </b>Wild empathy class feature.</h5><h5><b>Benefit: </b>You may target vermin with spells and special abilities that only affect animals (although they are still affected by spells targeting vermin as well). You may use wild empathy to inf luence vermin as easily as you inf luence animals.</h5></div>",0,0,0,0,0,0,0,,,,,0,
349,War Singer,General,"Your songs draw upon the savage chants and brutal ways of your people, inspiring those around you to new heights of violence and savagery.","Cha 13, bardic performance class feature, half-orc or orc.",,"When you use bardic performance with audible components on a battlefield (any area where a combat involving a dozen or more combatants is taking place), the range or area of your chosen performance is doubled. In addition, the DC for saving throws against your bardic performance is increased by +2 for creatures of the orc subtype, regardless of where the performance occurs.",,,Advanced Player's Guide,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">War Singer</p><div style=""clear: both;""></div></div><div><h5>Your songs draw upon the savage chants and brutal ways of your people, inspiring those around you to new heights of violence and savagery.<h5><b>Prerequisites: </b>Cha 13, bardic performance class feature, half-orc or orc.</h5><h5><b>Benefit: </b>When you use bardic performance with audible components on a battlefield (any area where a combat involving a dozen or more combatants is taking place), the range or area of your chosen performance is doubled. In addition, the DC for saving throws against your bardic performance is increased by +2 for creatures of the orc subtype, regardless of where the performance occurs.</h5></div>",0,0,0,0,0,1,0,"Half-Orc,Orc",,,,0,
350,Well-Prepared,General,"Somehow, you always seem to have the right tools or supplies close at hand.",Halfling.,,"Once per day, when confronted with a situation that calls for a particular mundane item of equipment, you may make a Sleight of Hand check with a DC of 10 plus the item's cost in gold pieces to ""happen"" to have such an item on your person. For example, having a crowbar would be DC 12, whereas a flask of acid would be DC 20. The item must be something you can easily carry-if you are on foot and have only a backpack, for example, you could not have a large iron cauldron. You cannot have magical items using this feat, nor can you have specif ic items, such as the key to a particular door. If you are stripped of your equipment or possessions, you lose the benef its of this feat until you have at least a day to resupply and ""acquire"" new items. You must pay for these items normally.",,"At the GM's option, a character can substitute the Survival skill for Sleight of Hand with this feat. Such a choice is permanent.",Advanced Player's Guide,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Well-Prepared</p><div style=""clear: both;""></div></div><div><h5>Somehow, you always seem to have the right tools or supplies close at hand.<h5><b>Prerequisites: </b>Halfling.</h5><h5><b>Benefit: </b>Once per day, when confronted with a situation that calls for a particular mundane item of equipment, you may make a Sleight of Hand check with a DC of 10 plus the item's cost in gold pieces to ""happen"" to have such an item on your person. For example, having a crowbar would be DC 12, whereas a flask of acid would be DC 20. The item must be something you can easily carry-if you are on foot and have only a backpack, for example, you could not have a large iron cauldron. You cannot have magical items using this feat, nor can you have specif ic items, such as the key to a particular door. If you are stripped of your equipment or possessions, you lose the benef its of this feat until you have at least a day to resupply and ""acquire"" new items. You must pay for these items normally.</h5><h5><b>Special: </b>At the GM's option, a character can substitute the Survival skill for Sleight of Hand with this feat. Such a choice is permanent.</h5></div>",0,0,0,0,0,1,0,Halfling,,,,0,
351,Adder Strike,Combat,"You can quickly apply poison to gloved hands, protected feet, or other protected body parts, delivering the poison with your unarmed strikes.","Poison use class feature, Craft (alchemy) 1 rank, Improved Unarmed Strike.",Improved Unarmed Strike,"As a swift action, you can apply one dose of contact or injury poison to two body parts that you use for unarmed strikes. You must still protect yourself against exposure to contact poisons you apply in this way.",Applying poison to a weapon or single piece of ammunition is a standard action.,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Adder Strike (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can quickly apply poison to gloved hands, protected feet, or other protected body parts, delivering the poison with your unarmed strikes.<h5><b>Prerequisites: </b>Poison use class feature, Craft (alchemy) 1 rank, Improved Unarmed Strike.</h5><h5><b>Benefit: </b>As a swift action, you can apply one dose of contact or injury poison to two body parts that you use for unarmed strikes. You must still protect yourself against exposure to contact poisons you apply in this way.</h5><h5><b>Normal: </b>Applying poison to a weapon or single piece of ammunition is a standard action.</h5></div>",0,0,0,0,0,0,0,,,,,0,
352,Adept Champion,General,"You can alter your smite ability, channeling the power of your deity into divine inspiration that grants you greater aptitude for performing combat maneuvers.","Smite evil class feature, base attack bonus +5.",,"While using your smite evil class feature, as a swift action at the start of your turn, you can forgo the bonus on damage rolls and instead gain half that bonus as a bonus on combat maneuver checks against the target of your smite. The effects of your smite evil feature return to normal at the start of your next turn.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Adept Champion</p><div style=""clear: both;""></div></div><div><h5>You can alter your smite ability, channeling the power of your deity into divine inspiration that grants you greater aptitude for performing combat maneuvers.<h5><b>Prerequisites: </b>Smite evil class feature, base attack bonus +5.</h5><h5><b>Benefit: </b>While using your smite evil class feature, as a swift action at the start of your turn, you can forgo the bonus on damage rolls and instead gain half that bonus as a bonus on combat maneuver checks against the target of your smite. The effects of your smite evil feature return to normal at the start of your next turn.</h5></div>",0,0,0,0,0,0,0,,,,,0,
353,Amateur Gunslinger,Combat,"Although you are not a gunslinger, you have and can use grit.",You have no levels in a class that has the grit class feature.,,"You gain a small amount of grit and the ability to perform a single 1st-level deed from the gunslinger deed class feature. At the start of the day, you gain 1 grit point, though throughout the day you can gain grit points up to a maximum of your Wisdom modifier (minimum 1). You can regain grit using the rules for the gunslinger's grit class feature (see page 9). You can spend this grit to perform the 1st-level deed you chose upon taking this feat, and any other deed you have gained through feats or magic items.",,"If you gain levels in a class that grants the grit class feature, you can immediately trade this feat for the Extra Grit feat.",Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Amateur Gunslinger (Combat)</p><div style=""clear: both;""></div></div><div><h5>Although you are not a gunslinger, you have and can use grit.<h5><b>Prerequisites: </b>You have no levels in a class that has the grit class feature.</h5><h5><b>Benefit: </b>You gain a small amount of grit and the ability to perform a single 1st-level deed from the gunslinger deed class feature. At the start of the day, you gain 1 grit point, though throughout the day you can gain grit points up to a maximum of your Wisdom modifier (minimum 1). You can regain grit using the rules for the gunslinger's grit class feature (see page 9). You can spend this grit to perform the 1st-level deed you chose upon taking this feat, and any other deed you have gained through feats or magic items.</h5><h5><b>Special: </b>If you gain levels in a class that grants the grit class feature, you can immediately trade this feat for the Extra Grit feat.</h5></div>",0,0,0,0,0,0,0,,,,,0,
354,Arc Slinger,Combat,You can twirl your sling in a way that maximizes its effectiveness.,"Point-Blank Shot, proficient with sling or halfling sling staff.",Point-Blank Shot,"When using a sling or sling staff, you reduce your penalty on ranged attack rolls due to range by 2. Point-Blank Shot's damage bonus applies within the first normal range increment of your sling (50 feet) or sling staff (80 feet).",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arc Slinger (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can twirl your sling in a way that maximizes its effectiveness.<h5><b>Prerequisites: </b>Point-Blank Shot, proficient with sling or halfling sling staff.</h5><h5><b>Benefit: </b>When using a sling or sling staff, you reduce your penalty on ranged attack rolls due to range by 2. Point-Blank Shot's damage bonus applies within the first normal range increment of your sling (50 feet) or sling staff (80 feet).</h5></div>",0,0,0,0,0,0,0,,,,,0,
355,Back to Back,General,"Your ally's eyes are your own, and yours are his.",Perception 3 ranks.,,"While you are flanked and adjacent to an ally with this feat, you receive a +2 circumstance bonus to AC against attacks from opponents flanking you.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Back to Back (Teamwork)</p><div style=""clear: both;""></div></div><div><h5>Your ally's eyes are your own, and yours are his.<h5><b>Prerequisites: </b>Perception 3 ranks.</h5><h5><b>Benefit: </b>While you are flanked and adjacent to an ally with this feat, you receive a +2 circumstance bonus to AC against attacks from opponents flanking you.</h5></div>",1,0,0,0,0,0,0,,,,,0,
356,Betrayer,General,"You can charm people into lowering their defenses, allowing you to ambush them more effectively.","Quick Draw, Persuasive, base attack bonus +3.","Quick Draw, Persuasive","When you succeed at a Diplomacy check to change a creature's attitude, you can draw a weapon and make a single melee attack against that creature as an immediate action. If you changed your target's attitude to friendly or better, your target is considered flat-footed against this attack. If the target survives, it takes a -2 penalty on its initiative check for this combat. Once you attack a creature, its attitude becomes hostile.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Betrayer</p><div style=""clear: both;""></div></div><div><h5>You can charm people into lowering their defenses, allowing you to ambush them more effectively.<h5><b>Prerequisites: </b>Quick Draw, Persuasive, base attack bonus +3.</h5><h5><b>Benefit: </b>When you succeed at a Diplomacy check to change a creature's attitude, you can draw a weapon and make a single melee attack against that creature as an immediate action. If you changed your target's attitude to friendly or better, your target is considered flat-footed against this attack. If the target survives, it takes a -2 penalty on its initiative check for this combat. Once you attack a creature, its attitude becomes hostile.</h5></div>",0,0,0,0,0,0,0,,,,,0,
357,Binding Throw,Combat,You can strike your enemy and use the blow as an opportunity to grab and hold him.,"Improved Grapple, Improved Trip, Improved Unarmed Strike, Ki Throw.","Improved Grapple, Improved Trip, Improved Unarmed Strike, Ki Throw","After you successfully use the Ki Throw feat on an opponent, you can use a swift action to attempt a grapple combat maneuver against that opponent.",The grapple combat maneuver is a standard action.,A monk can gain Binding Throw as a bonus feat starting at 14th level.,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Binding Throw (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can strike your enemy and use the blow as an opportunity to grab and hold him.<h5><b>Prerequisites: </b>Improved Grapple, Improved Trip, Improved Unarmed Strike, <i>Ki</i> Throw.</h5><h5><b>Benefit: </b>After you successfully use the <i>Ki</i> Throw feat on an opponent, you can use a swift action to attempt a grapple combat maneuver against that opponent.</h5><h5><b>Normal: </b>The grapple combat maneuver is a standard action.</h5><h5><b>Special: </b>A monk can gain Binding Throw as a bonus feat starting at 14th level.</h5></div>",0,0,0,0,0,0,0,,,,,0,
358,Bludgeoner,Combat,You can knock foes out cold with just about any blunt instrument.,,,You take no penalty on attack rolls for using a lethal bludgeoning weapon to deal nonlethal damage.,You take a -4 penalty on attack rolls when using a lethal weapon to deal nonlethal damage. You cannot use a lethal weapon to deal nonlethal damage in a sneak attack.,A rogue with this feat can use a lethal bludgeoning weapon to deal nonlethal damage with a sneak attack.,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Bludgeoner (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can knock foes out cold with just about any blunt instrument.<h5><b>Benefit: </b>You take no penalty on attack rolls for using a lethal bludgeoning weapon to deal nonlethal damage.</h5><h5><b>Normal: </b>You take a -4 penalty on attack rolls when using a lethal weapon to deal nonlethal damage. You cannot use a lethal weapon to deal nonlethal damage in a sneak attack.</h5><h5><b>Special: </b>A rogue with this feat can use a lethal bludgeoning weapon to deal nonlethal damage with a sneak attack.</h5></div>",0,0,0,0,0,0,0,,,,,0,
359,Boar Ferocity,Combat,Your flesh-ripping unarmed strikes terrify your victims.,"Improved Unarmed Strike, Boar Style, Intimidate 6 ranks.","Improved Unarmed Strike, Boar Style","You add piercing damage to the damage types you can deal with your unarmed strikes. Further, you gain a +2 bonus on Intimidate checks to demoralize opponents. While using Boar Style, whenever you tear an opponent's f lesh, you can spend a free action to make an Intimidate check to demoralize that opponent.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Boar Ferocity (Combat)</p><div style=""clear: both;""></div></div><div><h5>Your flesh-ripping unarmed strikes terrify your victims.<h5><b>Prerequisites: </b>Improved Unarmed Strike, Boar Style, Intimidate 6 ranks.</h5><h5><b>Benefit: </b>You add piercing damage to the damage types you can deal with your unarmed strikes. Further, you gain a +2 bonus on Intimidate checks to demoralize opponents. While using Boar Style, whenever you tear an opponent's f lesh, you can spend a free action to make an Intimidate check to demoralize that opponent.</h5></div>",0,0,0,0,0,0,0,,,,,0,
360,Boar Shred,Combat,"The wounds you inf lict with your unarmed strikes bleed, giving you renewed vigor.","Improved Unarmed Strike, Boar Ferocity, Boar Style, Intimidate 9 ranks.","Improved Unarmed Strike, Boar Ferocity, Boar Style","You can make an Intimidate check to demoralize an opponent as a move action. While using Boar Style, whenever you tear an opponent's flesh, once per round at the start of that opponent's turn he takes 1d6 bleed damage. The bleed damage dealt while using Boar Style persist even if you later switch to a different style.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Boar Shred (Combat)</p><div style=""clear: both;""></div></div><div><h5>The wounds you inf lict with your unarmed strikes bleed, giving you renewed vigor.<h5><b>Prerequisites: </b>Improved Unarmed Strike, Boar Ferocity, Boar Style, Intimidate 9 ranks.</h5><h5><b>Benefit: </b>You can make an Intimidate check to demoralize an opponent as a move action. While using Boar Style, whenever you tear an opponent's flesh, once per round at the start of that opponent's turn he takes 1d6 bleed damage. The bleed damage dealt while using Boar Style persist even if you later switch to a different style.</h5></div>",0,0,0,0,0,0,0,,,,,0,
361,Boar Style,Combat,Your sharp teeth and nails rip your foes open.,"Improved Unarmed Strike, Intimidate 3 ranks.",Improved Unarmed Strike,"You can deal bludgeoning damage or slashing damage with your unarmed strikes-changing damage type is a free action. While using this style, once per round when you hit a single foe with two or more unarmed strikes, you can tear flesh. When you do, you deal 2d6 bleed damage with the attack.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Boar Style (Combat, Style)</p><div style=""clear: both;""></div></div><div><h5>Your sharp teeth and nails rip your foes open.<h5><b>Prerequisites: </b>Improved Unarmed Strike, Intimidate 3 ranks.</h5><h5><b>Benefit: </b>You can deal bludgeoning damage or slashing damage with your unarmed strikes-changing damage type is a free action. While using this style, once per round when you hit a single foe with two or more unarmed strikes, you can tear flesh. When you do, you deal 2d6 bleed damage with the attack.</h5></div>",0,0,0,1,0,0,0,,,,,0,
362,Body Shield,Combat,"With a sly maneuver, you force a grappled opponent into the path of an incoming attack.","Dex 13, Improved Grapple, Improved Unarmed Strike, base attack bonus +6.","Improved Grapple, Improved Unarmed Strike","As an immediate action while you are grappling an adjacent creature, you can make a grapple combat maneuver check against that creature to gain cover against a single attack. If you are successful and the attack misses you, that attack targets the creature you used as cover, using the same attack roll. You cannot use this feat against a creature grappling you, and the cover you gain ends after the attack you gained cover against is resolved.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Body Shield (Combat)</p><div style=""clear: both;""></div></div><div><h5>With a sly maneuver, you force a grappled opponent into the path of an incoming attack.<h5><b>Prerequisites: </b>Dex 13, Improved Grapple, Improved Unarmed Strike, base attack bonus +6.</h5><h5><b>Benefit: </b>As an immediate action while you are grappling an adjacent creature, you can make a grapple combat maneuver check against that creature to gain cover against a single attack. If you are successful and the attack misses you, that attack targets the creature you used as cover, using the same attack roll. You cannot use this feat against a creature grappling you, and the cover you gain ends after the attack you gained cover against is resolved.</h5></div>",0,0,0,0,0,0,0,,,,,0,
363,Bolstered Resilience,General,You can dramatically increase your damage reduction in exchange for its temporary loss.,Damage reduction.,,"As an immediate action, you can double your DR against a single attack, to a maximum of DR 20. The type of the DR remains unchanged. If the attack you are guarding against is not successful, the increased damage reduction persists until you are hit with an attack or until the start of your next turn, whichever happens first. At the start of your next turn, you become fatigued. You cannot use this feat while you are fatigued.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Bolstered Resilience</p><div style=""clear: both;""></div></div><div><h5>You can dramatically increase your damage reduction in exchange for its temporary loss.<h5><b>Prerequisites: </b>Damage reduction.</h5><h5><b>Benefit: </b>As an immediate action, you can double your DR against a single attack, to a maximum of DR 20. The type of the DR remains unchanged. If the attack you are guarding against is not successful, the increased damage reduction persists until you are hit with an attack or until the start of your next turn, whichever happens first. At the start of your next turn, you become fatigued. You cannot use this feat while you are fatigued.</h5></div>",0,0,0,0,0,0,0,,,,,0,
364,Bonebreaker,Combat,"When your opponent is unable to adequately defend against them, your precise unarmed strikes break bone and tear tissue.","Dex 13, Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist, Heal 9 ranks.","Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist","When you make a successful Stunning Fist attempt against an opponent that is grappled, helpless, or stunned, you can forgo any other Stunning Fist effect to deal 1d6 Strength or Dexterity damage to that opponent.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Bonebreaker (Combat)</p><div style=""clear: both;""></div></div><div><h5>When your opponent is unable to adequately defend against them, your precise unarmed strikes break bone and tear tissue.<h5><b>Prerequisites: </b>Dex 13, Improved Grapple, Improved Unarmed Strike, Jawbreaker, Stunning Fist, Heal 9 ranks.</h5><h5><b>Benefit: </b>When you make a successful Stunning Fist attempt against an opponent that is grappled, helpless, or stunned, you can forgo any other Stunning Fist effect to deal 1d6 Strength or Dexterity damage to that opponent.</h5></div>",0,0,0,0,0,0,0,,,,,0,
365,Branded for Retribution,General,"You brand an enemy with your bane weapon, making it more vulnerable to your allies' attacks.",Bane class feature.,,"As a standard action, expend 3 rounds of your bane class feature and make a melee touch attack with the weapon affected by bane. If you hit, your target takes no damage but is branded until the start of your next turn. While this brand remains, your allies' weapons are considered to have the bane ability with which your weapon is imbued when they attack the branded creature.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Branded for Retribution</p><div style=""clear: both;""></div></div><div><h5>You brand an enemy with your bane weapon, making it more vulnerable to your allies' attacks.<h5><b>Prerequisites: </b>Bane class feature.</h5><h5><b>Benefit: </b>As a standard action, expend 3 rounds of your bane class feature and make a melee touch attack with the weapon affected by bane. If you hit, your target takes no damage but is branded until the start of your next turn. While this brand remains, your allies' weapons are considered to have the bane ability with which your weapon is imbued when they attack the branded creature.</h5></div>",0,0,0,0,0,0,0,,,,,0,
366,Break Guard,Combat,You can use one of your two weapons to occupy your opponent's defenses while attacking with the other.,"Dex 15, Int 13, Combat Expertise, Improved Disarm, Two-Weapon Fighting.","Combat Expertise, Improved Disarm, Two-Weapon Fighting","While wielding two weapons, whenever you successfully use one weapon to disarm an opponent, you can spend a swift action to attack the opponent you attempted to disarm using your other weapon.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Break Guard (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can use one of your two weapons to occupy your opponent's defenses while attacking with the other.<h5><b>Prerequisites: </b>Dex 15, Int 13, Combat Expertise, Improved Disarm, Two-Weapon Fighting.</h5><h5><b>Benefit: </b>While wielding two weapons, whenever you successfully use one weapon to disarm an opponent, you can spend a swift action to attack the opponent you attempted to disarm using your other weapon.</h5></div>",0,0,0,0,0,0,0,,,,,0,
367,Broken Wing Gambit,Combat,"You feign weakness, making yourself a tempting and distracting target.",Bluff 5 ranks.,,"Whenever you make a melee attack and hit your opponent, you can use a free action to grant that opponent a +2 bonus on attack and damage rolls against you until the end of your next turn or until your opponent attacks you, whichever happens first. If that opponent attacks you with this bonus, it provokes attacks of opportunity from your allies who have this feat.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Broken Wing Gambit (Combat, Teamwork)</p><div style=""clear: both;""></div></div><div><h5>You feign weakness, making yourself a tempting and distracting target.<h5><b>Prerequisites: </b>Bluff 5 ranks.</h5><h5><b>Benefit: </b>Whenever you make a melee attack and hit your opponent, you can use a free action to grant that opponent a +2 bonus on attack and damage rolls against you until the end of your next turn or until your opponent attacks you, whichever happens first. If that opponent attacks you with this bonus, it provokes attacks of opportunity from your allies who have this feat.</h5></div>",1,0,0,0,0,0,0,,,,,0,
368,Cartwheel Dodge,General,You use your knack for avoiding damage to reposition yourself in combat.,"Evasion class feature, improved evasion class feature, acrobatics 12 ranks.",,"When you successfully use improved evasion to avoid taking damage, you can move up to half your speed as an immediate action. This movement provokes attacks of opportunity as normal.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Cartwheel Dodge</p><div style=""clear: both;""></div></div><div><h5>You use your knack for avoiding damage to reposition yourself in combat.<h5><b>Prerequisites: </b>Evasion class feature, improved evasion class feature, acrobatics 12 ranks.</h5><h5><b>Benefit: </b>When you successfully use improved evasion to avoid taking damage, you can move up to half your speed as an immediate action. This movement provokes attacks of opportunity as normal.</h5></div>",0,0,0,0,0,0,0,,,,,0,
369,Cavalry Formation,Combat,You are skilled at riding in close formation with your mounted allies without impeding your effectiveness on the battlefield.,Mounted Combat.,Mounted Combat,"You and your mount can overlap the space of mounts whose riders have this feat, although no more than two creatures can share any one square. Further, you can charge through a space containing an allied mount if that mount's rider has this feat, although the space from which you make your charge attack must comply with this feat's other benefit or be unoccupied.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Cavalry Formation (Combat, Teamwork)</p><div style=""clear: both;""></div></div><div><h5>You are skilled at riding in close formation with your mounted allies without impeding your effectiveness on the battlefield.<h5><b>Prerequisites: </b>Mounted Combat.</h5><h5><b>Benefit: </b>You and your mount can overlap the space of mounts whose riders have this feat, although no more than two creatures can share any one square. Further, you can charge through a space containing an allied mount if that mount's rider has this feat, although the space from which you make your charge attack must comply with this feat's other benefit or be unoccupied.</h5></div>",1,0,0,0,0,0,0,,,,,0,
370,Channeled Revival,General,You can expend a large portion of your channeling power to reverse death itself.,Channel energy 6d6 (positive energy).,,"As a full-round action that provokes attacks of opportunity, you can expend three uses of your channel energy class feature to restore a dead creature to life as if you had cast the breath of life spell (Core Rulebook 251).",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Channeled Revival</p><div style=""clear: both;""></div></div><div><h5>You can expend a large portion of your channeling power to reverse death itself.<h5><b>Prerequisites: </b>Channel energy 6d6 (positive energy).</h5><h5><b>Benefit: </b>As a full-round action that provokes attacks of opportunity, you can expend three uses of your channel energy class feature to restore a dead creature to life as if you had cast the <i>breath of life</i> spell (<i>Core Rulebook</i> 251).</h5></div>",0,0,0,0,0,0,0,,,,,0,
371,Channeling Scourge,General,"Your zeal for hunting your faith's enemies empowers your ability to channel divine energy, as long as you channel that energy for harm.","Channel energy class feature, inquisitor level 1st.",,"When you use channel energy to deal damage, your inquisitor levels count as cleric levels for determining the number of damage dice and the saving throw DC.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Channeling Scourge</p><div style=""clear: both;""></div></div><div><h5>Your zeal for hunting your faith's enemies empowers your ability to channel divine energy, as long as you channel that energy for harm.<h5><b>Prerequisites: </b>Channel energy class feature, inquisitor level 1st.</h5><h5><b>Benefit: </b>When you use channel energy to deal damage, your inquisitor levels count as cleric levels for determining the number of damage dice and the saving throw DC.</h5></div>",0,0,0,0,0,0,0,,,,,0,
372,Charging Hurler,Combat,You know how to use your momentum to enhance your thrown weapon attacks.,Point-Blank Shot.,Point-Blank Shot,"You can use the charge rules to make a thrown weapon attack. All the parameters of a charge apply, except that you must only move closer to your opponent, and you must end your movement within 30 feet of that opponent. If you do, you can make a single thrown weapon attack against that opponent, gaining the +2 bonus on the attack roll and taking a -2 penalty to your AC until the start of your next turn.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Charging Hurler (Combat)</p><div style=""clear: both;""></div></div><div><h5>You know how to use your momentum to enhance your thrown weapon attacks.<h5><b>Prerequisites: </b>Point-Blank Shot.</h5><h5><b>Benefit: </b>You can use the charge rules to make a thrown weapon attack. All the parameters of a charge apply, except that you must only move closer to your opponent, and you must end your movement within 30 feet of that opponent. If you do, you can make a single thrown weapon attack against that opponent, gaining the +2 bonus on the attack roll and taking a -2 penalty to your AC until the start of your next turn.</h5></div>",0,0,0,0,0,0,0,,,,,0,
373,Chokehold,Combat,"While grappling, you can cut off an opponent's air and blood supply.","Improved Grapple, Improved Unarmed Strike, base attack bonus +6 or monk level 5th.","Improved Grapple, Improved Unarmed Strike","While you have an opponent up to one size category larger than you grappled, you can attempt a grapple combat maneuver with a -5 penalty on the check. If you succeed, you have pinned your opponent and hold the opponent in a chokehold. When you maintain the grapple, you also maintain the chokehold. A creature in a chokehold cannot breathe or speak, and thus cannot cast spells that have a verbal component. An opponent you have in a chokehold has to hold his breath or begin suffocating. Any creature that does not breathe, is immune to bleed damage, or is immune to critical hits is immune to the effects of your chokehold. When the grapple is ended, so is the chokehold.",,,Ultimate Combat,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Chokehold (Combat)</p><div style=""clear: both;""></div></div><div><h5>While grappling, you can cut off an opponent's air and blood supply.<h5><b>Prerequisites: </b>Improved Grapple, Improved Unarmed Strike, base attack bonus +6 or monk level 5th.</h5><h5><b>Benefit: </b>While you have an opponent up to one size category larger than you grappled, you can attempt a grapple combat maneuver with a -5 penalty on the check. If you succeed, you have pinned your opponent and hold the opponent in a chokehold. When you maintain the grapple, you also maintain the chokehold. A creature in a chokehold cannot breathe or speak, and thus cannot cast spells that have a verbal component. An opponent you have in a chokehold has to hold his breath or begin suffocating. Any creature that does not breathe, is immune to bleed damage, or is immune to critical hits is immune to the effects of your chokehold. When the grapple is ended, so is the chokehold.</h5></div>",0,0,0,0,0,0,0,,,,,0,
